,Transfer Volume,Reaction Volume (nL),Destination Well,Source Plate Barcode,Source Plate Type,Source Well,Content,Destination_plate Type
87,1000,3000 (nL),B01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
88,1000,3000 (nL),B02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
89,1000,3000 (nL),B03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
90,1000,3000 (nL),B04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
91,1000,3000 (nL),B05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
92,1000,3000 (nL),B06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
93,1000,3000 (nL),B07,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
94,1000,3000 (nL),B08,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
95,1000,3000 (nL),B09,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
96,725,3000 (nL),A01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
97,725,3000 (nL),A02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
98,725,3000 (nL),A03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
99,650,3000 (nL),A04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
100,650,3000 (nL),A05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
101,650,3000 (nL),A06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
102,600,3000 (nL),A07,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
103,600,3000 (nL),A08,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
104,600,3000 (nL),A09,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
105,550,3000 (nL),A10,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
